2025-08-13 03:42:55 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:42:55] "POST /api/add_job HTTP/1.1" 200 -
2025-08-13 03:42:56 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:42:56] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:02 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:02] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:12 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:12] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:22 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:22] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:32 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:32] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:42 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:42] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:43:52 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:43:52] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:12 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:12] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:23 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:23] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:32 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:32] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:43] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:44:52 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:44:52] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:45:11 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:45:11] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:45:54 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:45:54] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:45:56 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:45:56 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:45:56 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:45:56] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:46:02 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:02] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:46:13 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:13] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:46:22 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:22] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:46:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:46:42 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:42] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:46:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:46:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:47:02 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:47:02] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:47:45 | INFO     | werkzeug             |  * Detected change in 'C:\\Users\\thaya\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\uuid.py', reloading
2025-08-13 03:47:55 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:47:55 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:47:55 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:47:55] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:47:58 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:47:58 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:47:58 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:47:58] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:48:01 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:48:01 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
